text,ref,Unnamed: 2,translated,source_zip_file,chrf_sentence,corpus_bleu,corpus_chrf
The Majority in Parliament believes that the President will turn to the International Monetary Fund (IMF) for assistance in order to alleviate the government's financial burden and ease the pressure on citizens.,Yɛgye di sɛ ɔbɛsane akasa afa Wiase nyinaa Sika Fotoɔ a wɔpɛ sɛ wɔkɔpɛ mu mmoa de bɛboa ɔman no sikasɛm ne nhyehyɛeɛ a aban no ayɛ sɛ ɔde bɛko atia ɔman no sikasɛm a akɔ fam no ho.,,"{""result"":""Aban mpanyimfo no gye di sɛ, sɛ aban no nya sika a, ɛsɛ sɛ wɔde kɔma International Monetary Fund (IMF) ma ɛboa wɔn.""}",run1,20.797453798628318,5.584506799191252,5.572755417956656
It is shown that the storage time of this carbon by plants is shorter than that of some seasonal weed species and slightly longer than that of annual trees.,"Wᴐkyerε sε, berε a mfifideε de kaabᴐn yi sie no yε adeε a nsesan ne nwura ahodoᴐ binom a wᴐnyini wᴐ mmerε binom mu deε no yε tia, εna nnua a afe biara wᴐnyini no nso deε ware kakra.",,"{""result"":""Wɔkyerɛ sɛ afifide tumi kora saa carbon yi so bere tiaa bi sen afifidu a ɛwɔ hɔ bere biara, na bere tenten bi mpo sen afifi a ɛwɔ mfe biako mu.""}",run1,20.293303236268258,5.584506799191252,5.572755417956656
"Apart from that, there is another wine which they refer to as 'doka.'","Ɛno da nkyɛn a, wɔwɔ nsa bi a wɔfrɛ no doka.",,"{""result"":""Nea ɛka ho no, bobesa foforo wɔ hɔ a wɔfrɛ no 'doka.'""}",run1,29.019141029303125,5.584506799191252,5.572755417956656
It can prevent male or female reproduction.,Ɛtumi si ɔbaarima anaa ɔbaa awoɔ ho kwan.,,"{""result"":""Ebetumi ama ɔbarima anaa ɔbea anya nna ho kwan.""}",run1,46.628936087342844,5.584506799191252,5.572755417956656
"it is true, everyone know that communication in marriages and dating are not easy.","Ɛyɛ ampa, obiara nim sɛ awadeɛ anaa mpenatweɛ mu nkitahodie nna fam saa.",,"{""result"":""Ɛyɛ nokware, obiara nim sɛ ɛnyɛ mmerɛw sɛ awarefo ne wɔn a wɔne wɔn ho da no bɛbɔ nkɔmmɔ.""}",run1,28.944277501295712,5.584506799191252,5.572755417956656
This sad incidence occurred at Shaiman Lebanon Zone 2A in the Greater Accra region.,Asɛm yi sii wɔ shaiman Lebanon Zone 2A wɔ Nkran mantam mu,,"{""result"":""Saa asɛm a ɛyɛ awerɛhow yi sii wɔ Shaiman Lebanon Zone 2A wɔ Greater Accra mantam mu.""}",run1,59.416174541931355,5.584506799191252,5.572755417956656
Indigenous agriculture has had a profound impact on human society today.,Abɛɛfo kuayɔ anya nsunsuansoɔ kɛseɛ pa ara wɔ nnipa astenam ɛnnɛ.,,"{""result"":""Kuw a nnipa a wɔwɔ hɔ nnɛ wom no anya asase no so mfuw so nkɛntɛnso kɛse.""}",run1,26.844384679383626,5.584506799191252,5.572755417956656
"Once they have passed the examination given by the Ghana Bar Training and Academy, and the results of their examination have been successful, the GLC holds an annual statutory meeting for lawyers The Alloy Society of Ghana.","Sɛ wɔwie wɔn sɔhwɛ a Ghana Alɔyafoɔ Nteteeɛ ne Adesuabea de ma wɔn no na wɔdi nkunim, na sɛ wɔn sɔhwɛ no so nsunsuansoɔ ba ma wɔnya wɔn abasobɔdeɛ awie a, GLC yɛ nhyiamu a mmara ma ho kwan wɔ afe biara mu fa alɔyafoɔ a no kɔ Alɔyafoɔ Kuo a ɛwɔ Ghana no mu.",,"{""result"":""Sɛ wɔn nsa ka sɔhwɛ a Ghana Bar Training and Academy de ma wɔn no, na wɔn sɔhwɛ no aba mu yie a, GLC yɛ afe afe nhyiamu a ɛwɔ mmara mu ma mmaranimfo The Alloy Society of Ghana.""}",run1,33.904204674049794,5.584506799191252,5.572755417956656
"I have emphasized a lot on language; however, what is the language I am talking about?","Masi kasa so pii wɔ soro hɔ, na sɛ yɛhwɛ a, ɛdeɛn kasa na mereka ho asɛm?",,"{""result"":""Mede nhyɛso pii ama kasa; nanso kasa bɛn na mereka ho asɛm?""}",run1,39.20420507030457,5.584506799191252,5.572755417956656
Agriculture is not just about crops and food.,Kuayɔ nyɛ nnɔbaeɛ ne nnuane ho nsɛm nko ara.,,"{""result"":""Ɛnyɛ nnɔbae ne aduan nko ara na ɛwɔ kuayɛ mu.""}",run1,38.680246387795094,5.584506799191252,5.572755417956656
"Accra -Bolga GHȼ 270, Accra-Navrongo GHȼ 280, Accra-Bawku GHȼ 285, Nkran-Wa GHȼ 260, Accra-Buipe GHȼ 215, Accra-Garu GHȼ 295, Accra-Nandom GHȼ 270, Accra-Hamile GHȼ 275, Kumasi-Tamale GHȼ 140, Kumasi-Bawku GHȼ 180, Kumasi-Garu GHȼ 190.","Nkran-Bolga GHȼ 270, Nkran-Navrongo GHȼ 280, Nkran-Bawku GHȼ 285, Nkran-Wa GHȼ 260, Nkran-BuipeGHȼ 215, Nkran-Garu GHȼ 295, Nkran-Nandom GHȼ 270, Nkran-HamileGHȼ 275, Kumase-Tamale GHȼ 140, Kumase-Bawku GHȼ 180, Kumase-Garu GHȼ 190.",,"{""result"":""Akra -Bolga GH 270, Akra-Navrongo GH ?? 280, Akr-Bawku GH  285, Nkran-Wa GH‬ 260, Akre-Buipe GH 215, Akra Garu GH 295, Akr‐Nandom GH‭ 270, Accra-Hamile GH̩ 275, Kumasi-Tamale GH‛ 140, Kumasi‐Bawko GH 180, Kumashi-Garu Gh‭ 190.""}",run1,50.335876536766186,5.584506799191252,5.572755417956656
A person can raise their hand to show interest in expressing their views on an issue or place the palm on the ear as a warning to slap someone.,"Obi tumi pagya ne nsa kyerɛ sɛ ɔrepɛ kwan akyerɛ n’adwene wɔ asɛm bi ho, anaa bae ne nsam de kyerɛ n’asom kasa kyerɛ obi sɛ ɔbɛbɔ n’asom.",,"{""result"":""Obi betumi ama ne nsa so de akyerɛ sɛ n'ani gye ho sɛ ɔbɛkyerɛ n'adwene wɔ asɛm bi ho anaasɛ ɔde ne nsa bɛhyɛ n'aso so de abɔ no kɔkɔ sɛ ɔmfa mpire obi.""}",run1,41.644199969032535,5.584506799191252,5.572755417956656
The following are the various signs that will indicate that one has a low blood pressure.,Nsɛnkyerɛnneɛ ahodoɔ a ɛbɛda adi ama obi ahunu sɛ ne mogya so ate bi na ɛdidi soɔ yi.,,"{""result"":""Nneɛma a edidi so yi yɛ nsɛnkyerɛnne ahorow a ɛkyerɛ sɛ obi wɔ mogya a ɛrebɔ no mu.""}",run1,33.6552066489866,5.584506799191252,5.572755417956656
"In Akan land, every sacred day comes after forty days. On the sacred days, Akans do not work.","Akanman mu no, da bɔne biara tɔ adaduanan akyi. Ɛduru da bɔne a, Akanfoɔ nyɛ adwuma.",,"{""result"":""Wɔ Akan asase so no, da kronkron biara ba wɔ nnafua aduanan akyi. Wɔ nna kronkron no mu no, Akanfo nyɛ adwuma.""}",run1,44.68404160694693,5.584506799191252,5.572755417956656
If a person is infected with small organisms that cause disease,Sԑ mmoawa nketewa a wᴐma nyarewa ba onipa bi mu a,,"{""result"":""Sɛ mmoawammoawa nketewa a ɛde yare ba no bi ka obi a""}",run1,41.838153344759284,5.584506799191252,5.572755417956656
"The names of these kings are as follows: Chief Destroyer Tutu I, Chief Opoku Ware I, Chief Kusi Boadum, Chief Destroyer Kwadwo, Chief Destroyer Kwame Panin, Chief Opoku Fofie, Chief Kwame Bonsu. Mighty Monkey Chief. The Almighty Yaw Destruction Akoto, The Almighty Kwaku Tree I, The Almighty Kofi Kakari, The Almighty Mensa Monsu, The Almighty Kwaku Tree Print I, The Almighty Printer II (Nana Kwame Kyeretwie),The Almighty Opoku Ware II, The Almighty Destruction Tutu II","Ahemfo yinom din na ɛdidi soɔ yi: Otumfoɔ Ɔsɛe Tutu I, Otumfoɔ Opoku Ware I, Otumfoɔ Kusi Boadum, Otumfoɔ Ɔsɛe Kwadwo, Otumfoɔ Ɔsɛe Kwame Panin, Otumfoɔ Opoku Fofie, Otumfoɔ Kwame Bonsu. Otumfoɔ Bonsu Panin. Otumfoɔ Yaw Ɔsɛe Akoto, Otumfoɔ Kwaku Dua I, Otumfoɔ Kofi Kakari, Otumfoɔ Mɛnsa Bonsu, Otumfoɔ Kwaku Dua Prɛmpɛ I, Otumfoɔ Prɛmpɛ II (Nana Kwame Kyeretwie),Otumfoɔ Opoku Ware II, Otumfoɔ Ɔsɛe Tutu II",,"{""result"":""Wɔfrɛ saa ahemfo yi sɛ: Ɔtemmufo Tutu I, Ɔtem mu panyin Opoku Ware I, ɔtemmufoɔ Kusi Boadum, ɔkemmufo Kwadwo, ɔsemmufo Kwame Panin, ɔpemmufoɔ Opoku Fofie, ɔmemmufoɔ Kwame Bonsu. Opifo Ɔtem Mu panyin. Yaw Ahobammɔ Akoto, Kwaku Dua a Ɛwɔ tumi nyinaa I, Kofi Kakari a Ɛhɔ tumi nyinaa, Mensa Monsu a Ɛho tumi nyinaa.""}",run1,33.96139702959795,5.584506799191252,5.572755417956656
Let’s also note that women don’t have the same amount of blood as men.,Momma yɛnhyɛ no nso sɛ mogya dodoɔ a ɛwɔ mmaa mu no ne mmarima deɛ nyɛ pɛ.,,"{""result"":""Momma yɛnhyɛ no nsow nso sɛ mmea nni mogya dodow a mmarima wɔ no bi.""}",run1,51.618984549211945,5.584506799191252,5.572755417956656
It was also stated that the alleged murderer is currently in the police police custody.,Amanneɛbɔ no san kyerɛe sɛ mprempren nea wosusuw sɛ ɔyɛ sa awudisɛm no wɔ polisifo nsem.,,"{""result"":""Wɔsan kae sɛ nea wɔabɔ no sobo sɛ okunkum no no da so wɔ polisifo nsam.""}",run1,31.58078485083482,5.584506799191252,5.572755417956656
He said the government couldn't fulfill their  various promises on finance from other countries and some communities.,Ɔkaa sɛ aban no antumi anni wɔn bɔhyɛ ahorow ho dwuma no fi amanaman ntam ne mpɔtam hɔ sikasɛm mu nsɛm.,,"{""result"":""Ɔkaa sɛ aban no ntumi nni wɔn bɔhyɛ ahorow a ɛfa sikasɛm a efi aman foforo ne aman bi so no so.""}",run1,47.63721959827641,5.584506799191252,5.572755417956656
"This headache will usually stop on his chest, causing his head to swell.","Saa tipaeɛ yi taa bɛgyina ne moma so, na ɛma ne ti dwa no.",,"{""result"":""Mpɛn pii no, saa ti ya no gyae wɔ ne koko so, na ɛma ne ti yɛ fĩ.""}",run1,33.605260101947806,5.584506799191252,5.572755417956656
Then clean and tidy your room regularly.,Afei pra wo dan mu berɛ biara na siesie hɔ.,,"{""result"":""Enti siesie wo dan no daa.""}",run1,22.43456472233954,5.584506799191252,5.572755417956656
"What happened made Nkrumah very self-conscious that, he began to form an army to protect him at all times.","Deɛ ɛsiiɛ maa Nkrumah ani baa ne ho so pa ara nti, ɔfirii aseɛ hyehyɛɛ asraafoɔ a na wɔbɛbɔ ne ho ban berɛ biara.",,"{""result"":""Nea esii no maa Nkrumah ani wui paa, enti ofii ase yɛɛ asraafo de bɔɔ ne ho ban bere nyinaa.""}",run1,41.56374072783369,5.584506799191252,5.572755417956656
"All of this can help young people involved in agriculture to learn that, no matter what happens in life, they have to fight forward because, they will realize that things will not always go the way we want them to.","Yeinom nyinaa tumi boa mmabunu a wɔde wɔn ho hyɛ kuadwuma mu no ma wɔsua sɛ, sɛdeɛ nneɛma bɛkɔ wɔ asetenam biara no, ɛsɛ sɛ wɔko kɔ wɔn anim ɛfiri, wɔbɛhunu sɛ ɛnyɛ daa nyinaa na nneɛma bɛkɔ sɛdeɛ yɛpɛ.",,"{""result"":""Eyi nyinaa betumi aboa mmofra a wɔyɛ adwuma wɔ kuayɛ mu ma wɔahu sɛ, ɛmfa ho nea ɛbɛba wɔ asetram biara no, ɛsɛ sɛ wɔyere wɔn ho kɔ so, efisɛ, wobehu sɛ ɛnyɛ bere nyinaa na nneɛma kɔ sɛnea yɛpɛ.""}",run1,42.38346580696455,5.584506799191252,5.572755417956656
"Even though it can be treated, this kind of constipation returns to the body after a short period.","Saa ayamtim yi tumi kɔ deɛ, nanso ɛnkyɛ biara na asane abɛtena nipa no so.",,"{""result"":""Ɛwom sɛ wobetumi asa yare yi de, nanso bere tiaa bi akyi no, ɛsan ba nipadua no mu.""}",run1,27.293923953988063,5.584506799191252,5.572755417956656
This is one reason why most people prefer to listen to music when exercising.,Ɛno nti na mpɛn pii no wɔn a wɔtenetene wɔn apɔ mu taa de nnwom bata ho no.,,"{""result"":""Eyi ne ade biako nti a nnipa dodow no ara ani gye ho sɛ wotie nnwom bere a wɔreyɛ apɔwmuteɛteɛ no.""}",run1,26.169824348683317,5.584506799191252,5.572755417956656
"In the past, the ways our ancestors lived were very different from the way life is today.","Tete no, akwan ahodoɔ a yɛn nananom faa so bɔɔ wɔn bra no yɛ sononko koraa firi sɛdeɛ asetena teɛ ɛnnɛ no ho.",,"{""result"":""Bere bi a atwam no, na yɛn nananom asetra kwan yɛ soronko koraa wɔ sɛnea yɛte nnɛ no ho.""}",run1,38.811551603810116,5.584506799191252,5.572755417956656
"Therefore, the Akans do not overlook this traditional naming culture at all.","Ɛno nti, Akanfoɔ ntoto abadintoɔ amammerɛ yi ase koraa.",,"{""result"":""Enti Akanfo mfa wɔn ani ngu saa din a wɔde to wɔn abusua no so koraa.""}",run1,27.394015614302713,5.584506799191252,5.572755417956656
Akua is a female born on Wednesday.,Akua yε ᴐbaa a wᴐwoo no Wukuada.,,"{""result"":""Akua yɛ ɔbea a wɔwoo no Wukuda.""}",run1,41.83285503145301,5.584506799191252,5.572755417956656
"In Akans calendar, they have six sacred days.","Akanfoɔ nnabuo mu no, wɔwɔ nnapɔnna anaa nna bɔne ahodoɔ nsia.",,"{""result"":""Wɔ Akanfo kalenda mu no, wɔwɔ nna kronkron asia.""}",run1,33.36465471258027,5.584506799191252,5.572755417956656
One earthquake that spread throughout the country was that in a city called Gilan.,Asasewosoɔ baako a ɛbɛgyee ntrɛha wɔ ɔman no mu ne deɛ ɛsii wɔ kuro baako a wɔfrɛ no Gilan mu no.,,"{""result"":""Asasewosow biako a ɛtrɛw kɔɔ ɔman no mu nyinaa no, na ɛwɔ kurow bi a wɔfrɛ no Gilan mu.""}",run1,48.38463368686961,5.584506799191252,5.572755417956656
They just like to dress with it.,Wɔde siesie wɔn ho kɛkɛ.,,"{""result"":""Wɔpɛ sɛ wɔde hyɛ.""}",run1,15.88588108913545,5.584506799191252,5.572755417956656
They just steal because they can’t control the feeling of this stealing.,Wɔbɔ korɔno no kɛkɛ ɛnam sɛ wɔntumi nhyɛ saa korɔnobɔ yi atenka so.,,"{""result"":""Wodi korɔn efisɛ wontumi nni wɔn korɔn ho nkate so.""}",run1,27.529264346319465,5.584506799191252,5.572755417956656
"For this reason, we are going to look at some of the ancient customs and traditions that we have abandoned today, and the benefits they derived from them.","Yei nti, yɛrebɛhwɛ tete amammerɛ ne amanneɛ binom a yɛayi wɔn akwa ɛnnɛ, ne mfasoɔ a na wɔnya firi so.",,"{""result"":""Ɛno nti, yɛbɛhwɛ tete amammerɛ ne amammerε a yɛagyae no nnɛ no bi, ne mfaso a wonya fii mu.""}",run1,46.4857002350571,5.584506799191252,5.572755417956656
"the fire service unit is still reminding us, and they repeatedly says that we should not let the gas cylinder get closer to the things that can easily absorb fire.","Dumgya adwumayԑkuo no gu so rebᴐ yԑn wei ho kᴐkᴐ, na wᴐka de to so sԑ, ԑnni kwan sԑ yԑde mframagya konkuraa no bԑn nneԑma a egya sᴐ mu ntԑm ne nneԑma a yԑtumi de sᴐ gya ho.",,"{""result"":""ogya ho adwumayɛfo no da so ara kae yɛn, na wɔtaa ka sɛ ɛnsɛ sɛ yɛma gas nkuku no bɛn nneɛma a ebetumi agye ogya no.""}",run1,22.670004443002835,5.584506799191252,5.572755417956656
Today even some hunters put chemicals into fruits for the animals to eat before getting meat to sell to us.,Ɛnnε abᴐfoᴐ binom mpo de nnuro gu nnuaba so ma mmoa di ansa na wᴐanya nam abεtᴐn ama yεn.,,"{""result"":""Ɛnnɛ mpo, awudifo bi de nnuru gu nnuaba mu ma mmoa no di ansa na wɔatɔ nam ama yɛn.""}",run1,38.57979031173329,5.584506799191252,5.572755417956656
"because naming ceremony is special culture, they have things that they use for the custom.","Ɛsiane sɛ abadintoɔ yɛ amammerɛ sononko nti, wɔwɔ nneɛma ahodoɔ bi a wɔde yɛ ɛmu amanneɛ no nyinaa",,"{""result"":""Esiane sɛ dinhyɛ yɛ amammerɛ soronko nti, wɔwɔ nneɛma a wɔde yɛ amanne.""}",run1,52.300766416719135,5.584506799191252,5.572755417956656
"Let us see how the song goes! Akyinkyinakyinkyin ama mahu Akyinkyinakyinkyin ama mahu nneɛma, Akyinkyinakyinkyin ama mate nsɛm nnɛ, Asante Bonwire Kentenwene deɛ, Menhunuu bi da o, Asante Bonwire Kentenwene deɛ, Mentee bi da o, Kwame nim adeɛ yɔ, Ne kentenwene na abɔ me gyɛ, Ne nsa; ne nan, ne nsadua sɛ ɛregyegye nie: Kro, kro, kro, kro, Hi, hi, hi, hi,Krohikro hi krokrokro,Hi, hi, hi, hi,Krohikro,Na ɛyɛ me dɛ o,Na ɛyɛ me dɛ o,Na abɔ me gye koraa,Na ɛyɛ me dɛ o,Na abɔ me gye koraa.","Momma yɛnhwɛ sɛdeɛ dwom no kɔ ɛ! Akyinkyinakyinkyin ama mahu Akyinkyinakyinkyin ama mahu nneɛma, Akyinkyinakyinkyin ama mate nsɛm nnɛ, Asante Bonwire Kentenwene deɛ, Menhunuu bi da o, Asante Bonwire Kentenwene deɛ, Mentee bi da o, Kwame nim adeɛ yɔ, Ne kentenwene na abɔ me gyɛ, Ne nsa; ne nan, ne nsadua sɛ ɛregyegye nie: Kro, kro, kro, kro, Hi, hi, hi, hi,Krohikro hi krokrokro,Hi, hi, hi, hi,Krohikro,Na ɛyɛ me dɛ o,Na ɛyɛ me dɛ o,Na abɔ me gye koraa,Na ɛyɛ me dɛ o,Na abɔ me gye koraa.",,"{""result"":""Let's see how the song goes! Akyinkyinakyinkyin ama mahu Akyinkynakyinkyn ama mahu nneɛma, Akyinkynaakyinkwin ama mate nsɛm nnɛ, Asante Bonwire Kentenwene deɛ, Menhunuu bi da o, AsanteBonwire Kenenwene deɛ , Mentee bi dao, Kwame nim adeɛ yɔ, Ne kentenwene na abɔ me gyɛ, Ne nsa; ne nan, ne nsadua sɛ ɛregyegye nie: Kro, kro, kro; Hi, hi, hi; Hi; Hi.""}",run1,64.14947113359148,5.584506799191252,5.572755417956656
"These antibodies are present in the body and can fight certain diseases such as heart disease, cancer and diabetes.","Saa ahoɔdennuro yi wɔ nipadua no mu a, ɛtumi ko tia nyarewa binom tete sɛ akomayareɛ, kokoram ne asikyireyareɛ.",,"{""result"":""Saa mmoawammoawa yi wɔ nipadua no mu na wotumi ko tia nyarewa bi te sɛ komayare, kokoram ne asikreyare.""}",run1,58.01844391678929,5.584506799191252,5.572755417956656
"He explained that, the country has enough gold to trade for oil in order to reduce the hike in the price of oil.","Ↄkyerɛ mu a, ɔman no asie sika kɔkɔɔ pii a wɔbɛtumi de adi nsesa agye fangoo sɛdeɛ ɛbɛyɛ a fangoo boɔ a ahuri kɔ soro no so bɛte.",,"{""result"":""Ɔkyerɛɛ mu sɛ, ɔman no wɔ sika kɔkɔɔ a ɛdɔɔso a wɔde bɛtɔ ngo no sɛnea ɛbɛyɛ a wobetumi ama sika no bo a ɛrebɔ no so atew.""}",run1,34.647744370514864,5.584506799191252,5.572755417956656
there is whitish water color coming from their vagina.,Nsuo fitaa bi firi wɔn ase ba.,,"{""result"":""nsu a ɛyɛ fitaa fi wɔn ntraso mu.""}",run1,24.28192142572552,5.584506799191252,5.572755417956656
Say good things about yourself every day.,Ka nsɛm pa fa wo ho dabiara.,,"{""result"":""Ka wo ho nsɛm a ɛyɛ dɛ da biara.""}",run1,43.593406268433796,5.584506799191252,5.572755417956656
"When we see others going through difficult times, a kind and needed word to their ears is a word of encouragement.","Mpanimfoɔ se, 'Akyea na ɛmmuiɛ, ɛsene abɛbuo nyinaa dɛ.' Tɛkyerɛma dɛ, kasadɛ anaa nkuranhyɛsɛm tumi sesa obi adwene firi di a ɔbɛdi ne ho awuo anaa nsusuiɛ bɔne bi ho.",,"{""result"":""Sɛ yehu sɛ afoforo refa mmere a emu yɛ den mu a, asɛm a ɛyɛ dɛ a ehia a yɛbɛka akyerɛ wɔn no yɛ nkuranhyɛsɛm.""}",run1,21.198975471304962,5.584506799191252,5.572755417956656
"When it comes to rape and such relationships, most of us think about eye contact or bedtime, and we don’t think about how we can enjoy our relationship with our loved ones when bedtime doesn’t happen in.","Sԑ yԑbᴐ mpenatweԑ ne ayᴐnkofa a ԑtete saa so a, deԑ yԑn mu pii no ara dwene ho ne anisoᴐ anaa mpa mu agodie, na yԑn adwene nkᴐ so sԑ yԑne yԑn adᴐfo ani bԑtumi agye wᴐ yԑn ayᴐnkofa no mu wᴐ berԑ a mpa mu agodie mpue mu.",,"{""result"":""Sɛ yɛka mmonnaato ne abusuabɔ a ɛte saa ho asɛm a, yɛn mu dodow no ara susuw aniwa mu a yɛne wɔn bedi anaa bere a ɛsɛ sɛ yɛda ho, na yɛmfa yɛn adwene nsi sɛnea yebetumi ne yɛn adɔfo anya abusuabɔ a anigye wom bere a bere a ɛfata sɛ yɛoda no nnya mmae no so.""}",run1,25.945975529971637,5.584506799191252,5.572755417956656
The Association of Government Workers stated at a meeting held to discuss the salary increment proposal that they firmly stand their ground.,"Aban Adwumayɛfoɔ Nkabomkuo no kaa no Wukuada no wɔ nhyiamu bi a na wɔde reka akatua ntomu yi ho asɛm ase sɛ, wɔgyina deɛ wɔgyina no ara.",,"{""result"":""Aban Adwumayɛfo Asafo no kae wɔ nhyiam bi a wɔyɛe de susuw sika a wɔde bɛma wɔn no ho sɛ wɔasi wɔn bo sɛ wobegyina wɔn gyinabea no so.""}",run1,35.64240676119199,5.584506799191252,5.572755417956656
"If these people get married, with all the four children they will produce, two of them will have AS genotype ( half defect), and the other two will be SS ( full defect).","Sɛ saa nnipa baanu yi bu wɔn ani gu wei so ware a, mmɔfra baanan a wɔbɛwo biara mu no, ɛmu baanu gyɛnotaopo bɛyɛ AS (deɛ ɛho ate kyema kakra), na baanu a aka no nso deɛ ayɛ SS (deɛ ate kyema pa ara).",,"{""result"":""Sɛ saa nkurɔfo yi ware a, sɛ wonya mma baanan a, wɔn mu baanu benya AS (ahaw fã) ne AS (ahoɔyaw nyinaa) no bi.""}",run1,21.812724051667512,5.584506799191252,5.572755417956656
