text,ref,Unnamed: 2,translated
"Bere a Matthew Henry 's Commentary on the Whole Bible reka nkyekyem yi ho asɛm no , ɛka sɛ : "" Ɛyɛ atreneefo su sɛ . . . wɔn koma abubu na wɔn honhom di yaw , kyerɛ sɛ , bɔne abrɛ wɔn ase , na wobu wɔn ho sɛ wɔnsom bo ; wɔba fam wɔ wɔn ankasa ani so , na wonni ahotoso wɔ wɔn ankasa mmɔdenbɔ mu . ""","Commenting on this verse , Matthew Henry 's Commentary on the Whole Bible notes : "" It is the character of the righteous . . . that they are of a broken heart and a contrite spirit , that is , humbled for sin , and emptied of self ; they are low in their own eyes , and have no confidence in their own merit . """,,"It is a soldier's duty, therefore, to... keep their arms and instruments in good repair, to show that they are ready for service, and to make themselves as formidable as possible; they must stand to their arms, and be ready to face danger, and put forth their own strength."
"Bere a Nikodemo gye tom sɛ wɔn a wɔdan Yudafo no hia awo foforo no , obebu adeyɛ a ɛte saa sɛ entumi nyɛ yiye wɔ Yudafo ankasa fam - ɛte sɛ nea wɔsan kɔ awotwaa no mu .","While acknowledging a new birth for proselytes , Nicodemus would view such a process as impossible for natural Jews - reentry to the womb as it were .",,"Now Nicodemus said to them that the Jews must be reborn, a thing that seemed impossible to the Jews themselves - like going back into the womb."
Bere a Nsusuwii Bɔne Befi Hɔ Koraa,When Wrong Thinking Will Be No More,,They also do not like to beg
"Bere a Onua Larson de Romafo 8 : 38 , 39 redi dwuma no , otuu adesuafo no fo sɛ : "" Munnyina na munsusuw tumi a Onyankopɔn de redi mo ho dwuma no ho , na monkae sɛ biribiara nni hɔ a ebetumi atetew mo ne Yehowa ntam abusuabɔ no mu . ""","Drawing on Romans 8 : 38 , 39 , Brother Larson admonished the students : "" Stop and reflect on the power that God is using in your behalf , and remember that nothing can break Jehovah 's personal attachment to you . """,,"For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord."
"Bere a Onyankopɔn de Ahenni no resi hɔ no , ɔkae sɛ : "" Me na masi me hene . ""","At the inauguration of the Kingdom , God says : "" I , even I , have installed my king . """,,"But as the Lord lives, who has brought me to this place, I will not go back."
"Bere a Onyankopɔn reka Adam bɔne ho asotwe akyerɛ no no , saa bere no nkutoo na Onyankopɔn kaa owu ho asɛm .",The only time that God mentioned death was when he told Adam of the punishment for disobedience .,,"And when God told Adam about the tree, at that time God also told him about death."
"Bere a Paulo kaa nna a edi akyiri no mu tebea horow ho asɛm siei no , ɔhyɛɛ nkɔm sɛ mmofra pii bɛyɛ awofo asɛm ho asoɔdenfo .","When Paul foretold conditions in the last days , he prophesied that many children would be disobedient to parents .",,"When Paulo had finished speaking and the people wanted to hear more, he decided that many children should become advocates for parental issues."
"Bere a Paulo yɛ aberante no , na ɔyɛ Farisini .","As a young Pharisee , Paul did things that he later regretted .",,Now Saul was a Pharisee
"Bere a Petro kyerɛw krataa kɔmaa ne nuanom Kristofo no , ɔkyerɛɛ mu sɛ ' tweatiboɔ ' a na wɔahyɛ ho nkɔm no ne Awurade Yesu Kristo , Mesia no .","When he quoted one of them in a letter to his fellow believers , Peter explained that the prophesied "" cornerstone "" was the Lord Jesus Christ , the Messiah .",,"When Peter wrote the letter to his brother Christians, he stated that the 'suffering' they were experiencing was for Lord Jesus Christ, the Messiah."
"Bere a Samuel da so ara yɛ abofra no , Yehowa kaa atemmu a ɔde bɛba Eli fie so ho asɛm kyerɛɛ no .","When Samuel is still of tender age , Jehovah speaks to him , pronouncing judgment against the house of Eli .",,"Now when Samuel had grown up and was serving the Lord, the Lord spoke to him through Eli."
"Bere a Satan sɔɔ Yesu hwɛe no , dɛn na Yesu gyinaa so maa no mmuae ?",Upon what did Jesus base his answers to Satan 's temptations ?,,"When Satan tempted Jesus, what did Jesus do to overcome him?"
"Bere a Yesu beduu Betania no , na Lasaro awu ma adi nnannan .","When Jesus finally reached Bethany , Lazarus had been dead for four days .",,"Now Jesus had come to Bethany before the Passover, and Lazarus was dead."
"Bere a Yesu rekasa akyerɛ wɔn a na womfi wɔn komam nsom Yehowa no , ɔfaa Yehowa asɛm a edi so yi ka kyerɛɛ wɔn sɛ : "" Ɔman yi de wɔn ano na edi me ni , na wɔn koma de , atwe afi me ho koraa . ""","Speaking to those whose worship was not sincere , Jesus quoted Jehovah as saying : "" This people honors me with their lips , yet their heart is far removed from me . """,,"And Jesus called a little child unto him, and set him in the midst of them, and said, Verily I say unto you, Except ye be converted, and become as little children, ye shall not enter into the kingdom of heaven."
"Bere a Yohane Osuboni no huu Yesu no , ɔde ahotoso kae sɛ : "" Hwɛ , Onyankopɔn Guammaa a oyi wiase bɔne fi hɔ no ni ! ""","Upon beholding Jesus , John the Baptizer confidently announces : "" See , the Lamb of God that takes away the sin of the world ! """,,"And John the Baptist sent word through his disciples and said: ""Are you the one who is to come, or should we look for someone else?"""
"Bere a Yona hui sɛ wɔrensɛe Niniwe no , so ohuu nneɛma sɛnea na Yehowa hu no no ?","When Jonah realized that Nineveh would not be destroyed , did he see things from Jehovah 's viewpoint ?",,"When Jonah preached to the people of Nineveh, how did they come to see things as Jehovah saw them?"
"Bere a adaemone bi a ne ho yɛ den bɔɔ mmɔden sɛ obesiw ɔbɔfo bi a na ɔde asɛm bi a ɛho hia rekɔma odiyifo Daniel kwan no , ɔbɔfo panyin Mikael na ɔbɛboaa saa ɔbɔfo no . - Dan .","When a demon prince tried to prevent an angel from delivering an important message to the prophet Daniel , the archangel Michael came to that angel 's assistance . - Dan .",,"And it shall be that when he comes to see me, he speaks a word that is of great importance to tell prophet Daniel, then chief Mikael will accompany that prophet - Dan."
"Bere a adaka no yɛ nyaa nkɔanim no , ɔkwan bɛn so na Noa gyidi mu yɛɛ den ?","As the construction of the ark progressed , how was Noah 's faith fortified ?",,"When the hunter is returning with the animal, which path will he take to get to Noah's ark?"
"Bere a afe 2004 ɛpo mu asasewosow no sii akyi no , wɔyɛɛ biribi a ebetumi abɔ nkurɔfo kɔkɔ wɔ mmeae a esisii no .","Following the 2004 tsunami , a warning system was installed in the affected region in an effort to prevent similar loss of life from occurring in the future .",,"In 2004, after the elections, they did something that could bring people development in places where it was lacking."
"Bere a akyɛde ahorow gu so reba no , saa nnipa a wɔatu wɔn ho ama yi yiyii ntade no mu , bobɔe , na wɔboaboaa ano de 30 biara guu adaka biako mu .","As the donated goods poured in , these volunteers sorted , folded , and packed the clothing into boxes that were stacked 30 to a pallet .",,"When they had finished all these offerings, the people who had devoted themselves to this purification ritual, then took 30 stones each and threw them into one pit."
"Bere a asɔre no mu kyekyɛɛ pii wɔ mfehaha no mu no , ɛbɛyɛɛ den kɛse sɛ wobehu nokware Kristofo .","As the church fragmented over the centuries , it became increasingly difficult to identify true Christians .",,"In the midst of all the confusion in the world, it will be very difficult to recognize Christ."
"Bere a atorɔm yi nam kwan so no , wodu mmeae a agyata a wɔde wɔn ho ahintaw wuram wɔ .","As the wildebeests advance , they enter the territories of lion prides , which wait in ambush .",,"When this train is moving, they take their instruments and entertain people on the way."
"Bere a awiei koraa woyii me fii afiase no , wɔpaw me sɛ menhwɛ nhomatintim adwuma a yɛyɛ wɔ Poland no nyinaa so .","When I was eventually released from prison , I was appointed to oversee our printing operations in all of Poland .",,"Later on, I was also appointed to oversee all the projects we undertake in Poland."
"Bere a bere tiaa mu akwampaefo titiriw no mu bi reyɛ afie afie adwuma anwummere bi no , ohyiaa aberante bi na ɔde nsaano krataa a wɔahyehyɛ asafo nhyiam ahorow wɔ so kyerɛɛ no .","While making house - to - house calls one evening , a temporary special pioneer met a young man and showed him a handbill listing congregation meetings .",,"And when he returned to his village, he was given a hero's welcome and he showed them the papers that told of the many battles he had fought."
"Bere a esi gya so no , fa nsu kakra hono nkate a wɔayam no - kuruwa biako biara ne nam nkaribo abien na ɛkɔ - na num ma no nkye nyɛ forɔe .","While that is cooking , stir a little water into some peanut butter to make a paste - approximately one cup for every two pounds of meat - and stir it into the stew .",,"When you build a new house, put small stones under the foundation so that when the rains come, it can absorb the water and the house will be strong."
"Bere a mebɔɔ mmɔden sɛ meremfa mmonkyemmɔnka no mu no , mebɔɔ mfuturu wɔ kwan no so .","As I tried to avoid the furrows in the dried mud , I succeeded in kicking up a minor dust storm .",,"When I was trying to enter into the complexities of it, I was also looking into the future."
"Bere a mebɔɔ mpae wɔ me tirim ntɛm ara akyi no , mifii ase kasa kyerɛɛ atiefo a na wɔawɛn wɔn aso no .","After a quick , silent prayer , I began speaking to an attentive audience .",,"And when I had finished speaking to them in their own language, I permitted the interpreters who were with them to declare it to their companions."
"Bere a mekɔɔ Betel wɔ 1930 mu no na nnipa 250 pɛ na wɔwɔ abusua no mu , nanso Betel abusua a ɛwɔ Brooklyn no dodow boro 3,500 nnɛ !","When I went to Bethel in 1930 , only 250 were in the family , but today the Bethel family in Brooklyn numbers over 3,500 !",,"When I went to Bethel in 1930 there were only 250 people and they were all family, but the Bethel family in Brooklyn now numbers over 3,500!"
"Bere a mfe no twam no , mma wo werɛ mfi wɔn .","As the years pass , do not forget them .",,"When you are with them, they make you feel like you are one of them."
"Bere a mpɔtam hɔ Adansefo no tee ɔhaw a na merehyia no ho asɛm no , wofi ɔdɔ mu boaa me , hyɛɛ me nkuran , na wɔmaa me asetrade ahorow bi .","When the local Witnesses heard of the problems I was facing , they lovingly came to my aid , encouraging me and providing me with certain essential needs .",,"When I arrived in the town, the Adanse people welcomed me warmly, gave me a drink, encouraged me, and gave me some gifts."
"Bere a n 'atamfo rebɔ no asɛndua mu no , ɔtee yaw kɛse , na woguu n 'anim ase .","When he was being executed on the torture stake , he was humiliated and in a lot of pain .",,"When he went up into the mountain to pray, he took a few of them with him and prayed for them."
"Bere a na Amanaman mufo pii a na wɔwɔ hɔ saa bere no nsiesiee wɔn ho sɛ wɔde wɔn ho bɛhyɛ Yudasom mu koraa ( a na hwehwɛ a wɔhwehwɛ sɛ wotwa twetia no na ɛyɛ akwanside titiriw ma mmarima ) no , wɔn ani gyee Yudafo no nyame biako som a na ɛnyɛ den a na ɛkɔ so wɔ wɔn hyia adan mu ne Yudafo no asetra mu abrabɔ ho gyinapɛn ahorow no ho .","Many Gentiles of those days , while not prepared to become full converts to Judaism ( the requirement of circumcision being a special stumbling block for men ) , were attracted by the simple monotheism of Jewish synagogue worship and by the ethical standards of the Jewish way of life .",,At that time and in many other Jewish communities there were many people who were interested in converting to Judaism (which was seen as a major achievement for men) and they were attracted to the Jewish belief in one God and the various rules that governed Jewish worship and social behavior.
"Bere a na onnya nni mfe aduonu no nyinaa no , na ɔreyɛ ntetee a wanya no nyinaa mu nhwehwɛmu , na ɔresisi nea ɔbɛfa wɔ mu de abɔ ne bra bere a wanyin no ho gyinae .","Throughout the teen years , he is examining the values he has been raised with , and he is deciding which ones he will take with him into adulthood .",,"When she also gets all twenty and puts all the ingredients she has found into it, and stirs what she will put in it to make her mixture ready to be served."
"Bere a nnipakuw no nyinaa didi mee no , asuafo no sesaa nea ɛkaa ase no , na wɔnyaa nkɛntɛn 12 !","And , after all were satisfied , the disciples even filled 12 baskets with the leftovers !",,"When all the workers finished their work, the disciples gathered the leftover pieces, and they collected twelve baskets!"
"Bere a nnwumakuw kɔ so sesa adwumam nhyehyɛe na wɔtew adwumayɛfo so sɛnea ɛbɛyɛ a wobenya sika pii no , wɔhyɛ adwumayɛfo so kɛse ma wɔyɛ adwuma pii .","As companies go through the process of restructuring and downsizing to remain financially profitable , greater pressure to produce is placed on employees .",,"When companies want to maximize their profit margins and make more money, they put too much pressure on workers to do more work."
"Bere a ofii ase suaa ade no , na ne kunu John nnye Onyankopɔn nni .","John did not want to get involved in religion , yet he could see how much Christine 's new faith meant to her .",,"When he had finished speaking, he said to John, ""Behold, the servant of the Lord."""
"Bere a omununkum gyee Yesu fii asuafo no anim no , abɔfo no kae sɛ : "" Yesu yi ara a wɔafa no mo nkyɛn kɔ ɔsoro yi , ɔbɛba saa ara , sɛnea muhu no sɛ ɔrekɔ ɔsoro yi . "" - Asomafo no Nnwuma 1 : 9 - 11 ; yɛn na yɛasi ɔfã bi so dua no .","After a cloud caught Jesus up from the disciples ' vision , the angels said : "" This Jesus who was received up from you into the sky will come thus in the same manner as you have beheld him going into the sky . "" - Acts 1 : 9 - 11 .",,"And after he had said these things, he was lifted up before their eyes, and a cloud took him away from them. - Acts 1:9-11; we are standing on a certain mountain."
"Bere a woanyin yi mpo wɔda so ara dwen w 'apɔwmuden , w 'anigye , wo haw , ne sɛnea wobɛkɔ so asom Onyankopɔn yiye no ho .","Their concern for your physical , mental , emotional , and spiritual welfare continues even after you grow older .",,"But you also must continue to be interested in the spiritual gifts, especially that you may prophesy, and know how you ought to behave in the household of God"
"Bere a wobisaa Séraphine a mprempren ɔte Spain , sɛnea ɔte nka wɔ gyinaesi no ho no , ɔkae sɛ : "" M 'ani agye paa na manya abotɔyam .","Asked how she felt about the decision , Séraphine , who now lives in Spain , declared : "" I am very happy and relieved .",,"Currently, Séraphine lives in Spain, and as she is preparing for the competition, she says: ""I am very confident and I am going to bring a trophy."""
"Bere a wɔakum Bernard awie na otuo aboba atutu ne ho ntokuru no , adeyɛ no ho adammɔ maa ɔpanyin a na ɔhwɛ hɔ no bo fuwii araa ma oyii ne tuo ketewa san tow bɔɔ n 'ani abien no nyinaa .","Even after Bernard was dead , his body riddled with bullets , the officer in charge became so enraged that he pulled out his revolver and shot Bernard through both his eyes .",,"When they finally caught Bernard and tied him up, the poor man's body was so weak that the old man who was taking care of him had to help him sit down and wash both of his hands."
"Bere a wɔammua Yesu no , ɔsaa ɔbarima no yare .","When they refused , Jesus went ahead and healed the man .",,"When they had seen Jesus, he also healed the man."
"Bere a wɔn mu baako reka n 'asɛm wɔ asɛnnibea no , ɔkae sɛ : "" Wobuu me kumfɔ .","Relating his experience in court , one said : "" The death sentence was decreed .",,"When one of them brought the matter to court, he said: ""You will kill me."""
"Bere a wɔwoo me no , wɔde too gua sɛ : wɔawo "" Onua dɔfo foforo . ""","At the time of my birth , it was announced : "" Another brother to be loved . """,,"When I was born, they poured libation saying: a new owner of the land has been born."
"Bere a yeduu Jipijapa kurow a ɛwɔ Ecuador atɔe fam no , wɔde onigyefo bi a wɔfrɛ no Carlos Mejía din maa yɛn . Ne din nkutoo na wɔde maa yɛn , na wɔamfa baabi a ɔte anka ho .","In the town of Jipijapa , in western Ecuador , we were given the name of an interested person - just the name , Carlos Mejía , but no address .",,"When we arrived at Jipijapa, a small town in southern Ecuador, we were given a guide named Carlos Mejía. We were only given his first name and where he lived."
"Bere a yeduu hɔ wɔ 1968 mu no , na nnipa bɛyɛ 20 anaa 30 na wɔba nhyiam horow , nanso mfirihyia awɔtwe akyi no , na nnipa bɛboro ɔha na wɔwɔ yɛn asafo no mu .","When we arrived in 1968 , there were about 20 or 30 attending meetings , but eight years later there were over a hundred in our congregation .",,"When we started in 1968, there were about 20 or 30 people who came to our meetings, but after eight months, there were over a hundred people in our church."
"Bere a yefii saa dwumadibea hɔ no , na wɔahyehyɛ asafo bi a ɛrenya nkɔso wɔ hɔ .","By the time we left that assignment , a flourishing congregation was established there .",,"When they have a good job opportunity, they also create a conducive environment for progress."
"Bere a yɛn tebea nte sɛ Hiob de no , yebetumi ate nsɛmpɔw a ɛwom no ase .","Unlike Job , we are in a position to comprehend the greater issues involved .",,"If our situation is like that of Job, then we can also trust the God who is in control."
"Bere a yɛrehwehwɛ ayaresa a ebetumi ama yɛn ho atɔ yɛn no , ɛho hia sɛ yedi Kyerɛwnsɛm mu nnyinasosɛm akyi .","While we seek to find effective treatment , it is vital that we adhere to Scriptural principles .",,"When we are searching for a medicine that can heal our sickness, it is necessary to seek spiritual healing first."
"Bere a yɛrekɔ no , yɛfaa nkurow pii a na wɔde atopae asɛe hɔ pasaa mu , ma enti na yentumi nhu sɛ ebia yebetumi ayɛ nhyiam no wɔ tebea horow a ɛte saa mu anaa .","On the way , we passed many bombed - out towns , and we wondered if the meeting could be held under such circumstances .",,"Before we went, we had passed through many towns that were devastated by war, and so we could not imagine that we could have the meeting in such conditions or not."
"Bere a yɛwɔ ɔpɛ a efi komam sɛ yebedi Yehowa ni no , yɛde yɛn anom asɛm ne nnwuma bɛkyerɛ ampa sɛ , sɛ yɛka sɛ "" Hwɛ , ɛnnɛ ne nkwagye da "" a , na ɛyɛ ampa .","With a heartfelt desire to honor Jehovah , we will prove by word and deed that we really mean it when we exclaim : "" Look ! Now is the day of salvation . """,,"For if we are in this tabernacle, we must serve Jehovah with our spirit and preach the message and do the work so that, when we say ""Look, today is the day of salvation"", it will be true."
"Bere a Ɔhene Dawid ne Bat - Seba sɛee aware na akyiri yi ɔnam nhyehyɛe a ɔyɛ maa wokum ne kunu so bɔɔ mmɔden sɛ ɔbɛkata so no , Yehowa somaa odiyifo Natan ma ɔkɔkaa Dawid anim .","When King David committed adultery with Bath - sheba and later tried to cover it over by arranging for the death of her husband , Jehovah sent the prophet Nathan to reprove David .",,"But when King David and Bath-sheba had relations, and afterward she became pregnant, he sent a scheme to have her husband killed, Jehovah sent the prophet Nathan to confront David."
"Bere a ɔbea bi a mogya atu no mfe 12 soo Yesu atade mu ma ne ho tɔɔ no no , Yesu ka kyerɛɛ no sɛ : "" Ɔbabea , wo gyidi agye wo , kɔ asomdwoe mu ! ""","When a woman who had suffered from a flow of blood for 12 years touched his garments and was healed , Jesus said to her : "" Daughter , your faith has made you well ; go your way in peace . """,,"And a woman was there who had been subject to bleeding for 12 years, but no one could heal her, then Jesus told her: ""Woman, your faith has healed you, go in peace!"""
"Bere a ɔbea bi a mogya retu no baa ne nkyɛn wɔ nkurɔfokuw mu bɛkaa n 'atade ano no , ɔbea no nyaa ayaresa anwonwakwan so .","When a woman with a flow of blood approached him in a crowd and touched the fringe of his garment , she was miraculously healed .",,"When a certain woman's placenta delayed in coming out during delivery, the woman received medical attention."
"Bere a ɔbea panyin bi a wɔfrɛ no Ritsuko bɔɔ mmɔden sɛ ɔde Kaori bɛyɛ ne yɔnko berɛbo no , Kaori kae sɛ : "" Mɛka nokware a , nea Ritsuko yɛe no anyɛ me dɛ , efisɛ na mempɛ sɛ mede obiara bɛyɛ me maame .","I didn 't want anyone to take the place of my mother , and I didn 't think that anyone could .",,"One day, a lady named Ritsuko tried to make Kaori her friend, but Kaori said: ""I don't want to, whatever Ritsuko does doesn't please me, because I don't want anyone to be my mother."""
"Bere a ɔsomafo Paulo mfe rekɔ anim mpo no , wankokɔ ne ho , mmom ɔde animia som Onyankopɔn .",The apostle Paul used his full potential to serve God later in life .,,"When the apostle Paul was about to be sent out, he first gave his life to God."
Bere a ɛdi kan a wɔkaa ahwehwɛ ho asɛm wɔ Bible mu no yɛ bere a na wɔresi ntamadan no ; nea Israelfo dii kan yɛe a na wɔsom wom no .,Women contributed mirrors for the fabrication of a sacred copper basin and its stand .,,The first time the issue of investigation is mentioned in the Bible is the time they were setting up the tent of meeting; the first thing the Israelites did when they came to worship.
"Bere a ɛredi wo dɛm na ɛrebubu wo no , ebetumi ama woatɔ mum , asɛe wo nkate , asesa wo nipasu ne tumi a wode kae ade , na ama wode bere a enni ano adi apere sɛ wubesi wo dedaw mu na wo ne w 'abusua anya asetra pa a na anka mowɔ mu no bio .","Cruelly maiming and crippling you , it may render you speechless , wreak havoc on your emotions , alter your personality and powers of cognition , and thrust upon you a seemingly endless struggle to regain the normal life you and your family once knew .",,"When you have prepared your deeds and done good, you can inherit eternal life, receive your reward, and enjoy the riches and power you have acquired, and when you come to the end of your days, you will be proud of yourself and your family will be proud of you too and they will also rejoice with you."
"Bere bi , nkurɔfo a na wɔwɔ Samaria akuraa bi ase poo Yesu esiane sɛ na ɔyɛ Yudani a ɔrekɔ Yerusalem nti .",On one occasion the people in a Samaritan village turned Jesus away simply because he was a Jew headed for Jerusalem .,,But when the Samaritans had refused to receive him because he was a Jew going to Jerusalem
"Bere bi akyi no , Yehowa Adansefo baa ne fie .",Some time later Jehovah 's Witnesses called at his home .,,"The next day, Jehovah's Witnesses came to his house."
"Bere bi akyi no , Yehowa Adansefo kɔbɔɔ ne pon mu .",Some time later Jehovah 's Witnesses knocked at her door .,,"After that, Jehovah struck the king with an illness."
"Bere bi akyi no , anuanom kyeree ɔkasa ahorow 92 guu mpaawa so .","Eventually , the brothers recorded 92 different talks .",,"Later, the committee recommended 92 languages to be added to the list."
"Bere bi akyi no , m 'awofo anko antia me som bio .","In time , my parents ' attitude toward my beliefs softened .",,"When I am gone, my brother will take care of you."
"Bere biara a ɛbɛyɛ yiye no , gye bere susuw nnyinasosɛm ahorow a ɛwom , ne nsɛm a ɛfa ho a woaboaboa ano no nyinaa ho .","When possible , take time to meditate on the principles involved and on all the information you have gathered .",,"All the days of the afflicted are evil, but he that is of a merry heart hath a continual feast, and everything he does is an opportunity to share his joy with others."
