text,ref,Unnamed: 2,translated
"Betrayal - German Churches and the Holocaust lɛ wie akɛ , kɛlɛ Odasefoi lɛ "" tee nɔ amɛja woji bibii lɛ ni amɛhiɛ amɛnɔkwayeli lɛ mli . ""","Yet , the Witnesses "" continued to distribute pamphlets and otherwise maintain their faith , "" notes Betrayal - German Churches and the Holocaust .",,"Betrayal - German Churches and the Holocaust is how it was, that the Christians ""did not do enough to save the Jews from their destruction."""
"Biblia Kaselɔ lɛ ha mimami woji bibii komɛi , ni etsɛɛɛ ni eyɔse anɔkwalei ni yɔɔ mli lɛ .",Mother accepted some booklets from the Bible Student and soon recognized the ring of truth .,,"The Holy Bible teaches us to love one another, and to live in peace and harmony with everyone."
"Biblia lɛ bɔɔ kɔkɔ akɛ : "" Mɛi ni taoɔ nii pii aná lɛ gbeeɔ kaa kɛ tsɔne kɛ kwashiai akɔnɔi pii ni fiteɔ mɔ ní tsiɔ mɛi ewoɔ hiɛkpatamɔ kɛ laajemɔ mli lɛ amli . "" - 1 Timoteo 6 : 9 .","The Bible warns : "" Those who are determined to be rich fall into temptation and a snare and many senseless and hurtful desires , which plunge men into destruction and ruin . "" - 1 Timothy 6 : 9 .",,"The Bible warns: ""But those who want to get rich fall into temptation and a trap and into many foolish and harmful desires that plunge people into ruin and destruction."" - 1 Timothy 6:9."
"Biblia lɛ etsɛ waa moŋ , shi etsuɔ hiamɔ nii nɛɛ ahe nii , ni efeɔ fe nakai po .","As old as it is , the Bible addresses those needs and more .",,"The Bible is a good book, and it teaches us how to live a good life, and it does not contain any lies."
"Biblia lɛ haa hetoo akɛ : "" Ejaakɛ enɛ hi ni eŋɔɔ Nyɔŋmɔ ni ji wɔyiwalaherelɔ lɛ naa , mɔ ni sumɔɔ akɛ ehere gbɔmɛi fɛɛ yiwala , koni amɛshɛ anɔkwale lɛ lee mli . ""","The Bible answers : "" This is fine and acceptable in the sight of our Savior , God , whose will is that all sorts of men should be saved and come to an accurate knowledge of truth . """,,"The Bible says: ""Do not be afraid, for I am your God who is with you, I will strengthen you and help you, and I will uphold you with my righteous right hand."""
Biblia lɛ jeee Yudafoi kɛ Kristofoi awoji komɛi kɛkɛ ni abua naa afee lɛ wolo kome .,The Bible is no mere collection of unrelated Jewish and Christian literature .,,"The Bible is the holy book for both Jews and Christians, and it is written in many languages."
Biblia lɛ ji Nyɔŋmɔ Wiemɔ ni ekɛ emumɔ lɛ tsirɛ mɛi ni amɛŋmala .,The Bible is the inspired Word of God .,,The Bible is God's Word and it teaches us how to live a good life.
Biblia lɛ ji map ni baanyɛ aye abua bo ni ona gbɛ ni esa akɛ otsɔ nɔ .,The Bible is a map that can help you to know which path to choose .,,The Bible teaches us that we should love one another and live in peace with everyone.
"Biblia lɛ kɛ "" nilelɔi awiemɔi "" toɔ tsina kpalamɔtsei ni kanyaa mɔ koni eya ehiɛ yɛ jalɛ gbɛ lɛ nɔ lɛ he .","The Bible likens "" the words of the wise ones "" to oxgoads that prod us to move forward in the right direction .",,"The Bible says ""in the beginning"" to show that time has a starting point and it is not eternal."
"Biblia lɛ kɛ wiemɔ ni ji "" miishɛjemɔ "" lɛ tsu nii nɔ ni fa fe shii ohai abɔ yɛ gbɛ ̀ i srɔtoi anɔ , koni wɔná nɔmimaa akɛ jeee akɛ Nyɔŋmɔ nuɔ shihilɛi ni wɔkɛkpeɔ lɛ ashishi kɛkɛ , shi eesumɔ ni eshɛje wɔmii .","The Bible uses "" comfort "" in various forms over a hundred times , assuring us that God not only understands what we face but also desires to comfort us .",,"The Bible refers to this ""good news"" as the message that gives hope and leads to eternal life, and it shows that God will bring about a new world where righteousness will prevail, and there will be no more suffering or death."
"Biblia lɛ kɛɔ akɛ "" buulufeemɔ kpɛtɛ gbekɛ tsui he . ""","The Bible says that "" foolishness is bound up in the heart of a child . """,,"The Bible says, ""Do not be afraid of them."""
"Biblia lɛ kɛɔ wɔ akɛ , Yehowa Nyɔŋmɔ futu gbɔmɛi lɛ awiemɔ yɛ Babel akɛni amɛtse ehiɛ atua lɛ hewɔ .",The Bible tells us that Jehovah God confused the people 's language at Babel because they rebelled against him .,,The Bible says that Jehovah God confused the language of the world at Babel so that they stopped building the city.
"Biblia lɛ maa nɔ mi akɛ : "" Mɛi ni nyiɛɔ emuuyeli mli lɛ , ekamaaa amɛ nɔ kpakpa ko nɔ kpakpa ko . "" - Lala 84 : 12 .","The Bible assures : "" Jehovah himself will not hold back anything good from those walking in faultlessness . "" - Psalm 84 : 11 .",,"""The Bible says: 'The Lord is a sun and a shield; he bestows favor and honor.' - Psalms 84:11"""
"Biblia lɛ maa nɔ mi ehaa wɔ akɛ , Yehowa hiɛ sɔɔ mɔdɛŋ ni mɛi ni kɛ amɛnifeemɔ tsɔɔ akɛ amɛyɛ hemɔkɛyeli yɛ emli lɛ bɔɔ lɛ .",It assures us that Jehovah appreciates the efforts of his faithful worshippers .,,The Bible itself says that Jehovah created humans with the ability to make their own decisions.
"Biblia lɛ tsɔɔ akɛ , naagbee gbii lɛ amli lɛ "" jaramɔ bei baaba . ""","The Bible indicates that in the last days , there would be "" critical times hard to deal with . """,,"The Bible says that the first man was named ""Adam."""
"Biblia lɛ wie yɛ Dorka he akɛ , "" eyi obɔ kɛ nitsumɔi kpakpai kɛ ejuji ni efeɔ ohiafoi lɛ . ""","Dorcas "" abounded in good deeds and gifts of mercy . """,,"The Bible says that, ""It is easier for a camel to go through the eye of a needle than for a rich man to enter the kingdom of God."""
Biblia mli saji tsɔɔ akɛ Yesu yɛ shwelɛ kɛ hewalɛ ni ekɛaaha gbekɛbii ni egboi lɛ aba wala mli ekoŋŋ,Bible accounts show that Jesus has the power and the desire to bring children back to life,,"The Bible tells us that Jesus is the way, the truth, and the life, and no one comes to the Father except through him."
Biblia mli shishitoo mlai lɛ kɛ nitsumɔ ha nyɛ ̃ ɛ ni kã wiemɔ kui enyɔ nɛɛ mli bii babaoo ateŋ lɛ je jɛmɛ .,The application of Bible principles melted the animosity that exists between many from these two ethnic groups .,,The Bible teaches us that we should not worry about tomorrow because tomorrow will have its own worries.
Biblia shishitsɔɔlɔi komɛi kɛ nakai wiemɔi lɛ nɔŋŋ tsu nii .,Some Bible versions use exactly that expression .,,The Bible is the holy book of God and it teaches us the truth.
"Biblia ŋmalɔ ni akɛ mumɔ tsirɛ lɛ lɛ tsɔ hiɛ ebɔ wɔ kɔkɔ yɛ wɔbe nɛɛ , ni ji "" naagbee gbii "" lɛ ahe , ni ekɛɛ akɛ : "" Gbɔmɛi fɔji kɛ shishiulɔi aaawo wu yɛ efɔŋ mli ; amɛlakaa mɛi ni amɛ hu alakaa amɛ . ""","The inspired Bible writer forewarns us about our time , "" the last days , "" and says : "" Wicked men and impostors will advance from bad to worse , misleading and being misled . """,,"The Bible says that God created the heavens and the earth and everything in them in six days, and rested on the seventh day, which is called ""the Sabbath day,"" and it says: ""For in six days the LORD made the heavens and the earth, the sea, and all that is in them, but he rested on the seventh day. Therefore the LORD blessed the Sabbath day and made it holy."""
"Biblia ŋmalɔi kɛ sui komɛi ni okropɔŋ yɔɔ lɛ tsuɔ nii amɛkɛfeɔ nibii tamɔ nilee , ŋwɛi hebuu , kɛ oyaiyeli he okadi . - 6 / 15 , baafa 8 .","Bible writers alluded to characteristics of the eagle to symbolize such things as wisdom , divine protection , and swiftness . - 6 / 15 , page 8 .",,"The Bible teaches us to be humble and to treat others with kindness, to forgive, and to avoid anger. - 6/15, page 8."
Biɛ ji he ni mikã he misɔmɔɔ lolo yɛ Yehowa Odasefoi ashika he nitsumɔi amli lɛ yɛ .,Here I continue to serve in connection with the financial activities of Jehovah 's Witnesses .,,This is why Jehovah’s Witnesses preach from house to house and make return visits.
"Blema adesãi lɛ ekomɛi po kɛ nikpamɔ be toɔ gbɔmɔ ni akɛ lɛ shaa afɔle he - ni ji nifeemɔ ko ni Yehowa Nyɔŋmɔ hiɔ . - 3 Mose 20 : 2 ; Yeremia 7 : 30 , 31 .","Other legends even connect harvesttime with human sacrifice - a practice that Jehovah God detests . - Leviticus 20 : 2 ; Jeremiah 7 : 30 , 31 .",,"Tell the Israelites that if any of them or any foreigner living among them sacrifices one of their children to Molek, they must be put to death. The people of the land are to stone them. I will set my face against them and will cut them off from their people; because they have sacrificed their children to Molech, defiling my sanctuary and profaning my holy name. - Leviticus 20:2; Jeremiah 7:30, 31."
Blonya - Je lɛ Gbi Jurɔ loo Jamɔ Gbi Krɔŋkrɔŋ ?,Christmas - Secular Holiday or Religious Holy Day ?,,Blonya - Is it the Gbi language or the Jamɔ Gbi Krɔŋkrɔŋ?
"Bo diɛŋtsɛ susumɔ bɔ ni Yudafoi lɛ ayiŋ baafutu amɛ aha , akɛni amɛnu he yɛ be kplaŋŋ mli akɛ Nyɔŋmɔ baabu amɛ kɛ amɛmaŋtiase krɔŋkrɔŋ lɛ he lɛ he okwɛ !","Just think how confused the Jews would have been , since they had long felt that God would protect them and their holy city !",,"The Jews were very happy because their enemies had been destroyed, and they established this day as a holiday for feasting and celebration."
"Bo lɛ susumɔ bɔ ni Abraham , ni no mli lɛ atsɛɔ lɛ Abram lɛ nu he eha beni Yehowa kɛɛ lɛ akɛ : "" Jee oshikpɔŋ lɛ nɔ kɛ ojaku lɛ . . . kɛya shikpɔŋ ni matsɔɔo lɛ nɔ "" lɛ he okwɛ .","We can only imagine how Abraham , then Abram , felt when Jehovah told him : "" Go your way out of your country and from your relatives . . . to the country that I shall show you . """,,"And when Abram was ninety-nine years old, Jehovah appeared to him and said: “I am God Almighty. . . . And you must no longer call your name Abram.”"
Bo lɛ susumɔ bɔ ni ofeɔ okɛ onaanyo ko ni kɛ bo teŋ jekɛ lɛ gbaa sane lɛ he okwɛ .,You could write to each other often and talk on the telephone .,,The chief's palace is very beautiful and it is the biggest one in the whole town.
"Bo lɛ susumɔ he okwɛ : Anáŋ asraafoi akui , tawuu nibii , loo hei ni akɛkaiɔ mɛi ni egboi yɛ ta mli .","Just think - no armies , navies , or air forces ! No weapons or war memorials .",,"The night was very dark: There were no soldiers around, not a single bird, and even the spirits that walk the earth at night were absent."
"Bofɔ Yohane haa hetoo akɛ : "" Enɛ ji Nyɔŋmɔ suɔmɔ lɛ , akɛ wɔye ekitai lɛ anɔ ; ni ekitai lɛ waaa . "" - Mateo 22 : 37 ; 1 Yohane 5 : 3 .","The apostle John answers : "" This is what the love of God means , that we observe his commandments ; and yet his commandments are not burdensome . "" - Matthew 22 : 37 ; 1 John 5 : 3 .",,"This is the love of God, that we keep his commandments; and his commandments are not burdensome. - Matthew 22:37; 1 John 5:3."
"Bruni ná hejɔlɛ beni ena kɛjɛ Biblia lɛ mli akɛ esaaa akɛ ashwaa Yehowa yɛ amanehulu he , akɛ jeee eyiŋtoo ji ni adesai apiŋ , ni akɛ etsɛŋ ni ekɛ efɔŋ baaba naagbee lɛ .","Bruni experienced relief once she saw from the Bible that Jehovah is not to blame for adversity , that he never purposed for mankind to suffer , and that he will soon put an end to evil .",,"Bruni said that the reason she came into the Bible truth was because she saw Jehovah's qualities, that he is a God of justice, and that he is ready to forgive."
"Bulɛ ni eyɔɔ lɛ gbala nikaselɔi 1,200 ni baa eskul lɛ daa kɛba eŋɔɔ , ni akpei abɔ baa yɛ Yudafoi anyɔŋ ni ji Adar kɛ Elul lɛ nɔ .","His reputation drew 1,200 regular students to his academy , with thousands more in attendance during the Jewish months of Adar and Elul .",,"The number of students who have not returned to school is 1,200, and this is due to the fear of the Jewish months of Adar and Elul."
"Bɔ fɛɛ bɔ ni fee lɛ , okɛ naatsĩi baakpe , ni yɛ bei komɛi amli lɛ , okɛ nijiaŋwujee henumɔi ni sɛɛ etsɛɛɛ po baakpe .",You are bound to run into obstacles and at times may even experience a temporary sense of failure .,,"When the sun sets, the moon rises, and when the sea dries up, the moon also follows the same path."
"Bɔ ni Biblia mli wiemɔi ni yɔɔ faŋŋ lɛ tsɔɔ lɛ , esa akɛ wɔmu sane naa akɛ , gbɔmɔ bɛ susuma ni gbooo ni baanyɛ ahi shi yɛ egbɔmɔtso lɛ gbele sɛɛ .","According to clear Biblical statements , we must conclude that man does not possess an immortal soul that can survive the death of his body .",,"The word of God in the Bible is sweet like honey, but it also warns that too much honey is not good, and too much of anything can harm the body."
"Bɔ ni Farao kɛ esraafoi lɛ yeee omanye lɛ , nakai nɔŋŋ mɛi ni teɔ shi woɔ Nyɔŋmɔ lɛ hu yeŋ omanye .","Opposers of God will fail , just as Pharaoh and his army failed .",,"Pharaoh and his army pursued them, but how they were drowned in the Red Sea!"
Bɔ ni Ooofee Owaje Ohetuu - kɛhamɔ Lɛ,"A key factor is humbly to apply the advice of God 's Word , the Bible .",,This is Ooofee Owaje Ohetuu - kɛhamɔ Lɛ
"Bɔ ni afee ni mɛi ni baa yɛ sɛɛ lɛ anine ashɛ Biblia mli sane lɛ nɔ lɛ , akwɛɔ nɔ ni yɔɔ momo lɛ nɔ akɛ niji ŋmalaa eko .","To pass on the message , those writings had to be carefully copied and recopied by hand .",,The reason we are gathered here today is to hear the word of God from the Bible and to encourage one another with good words.
"Bɔ ni ebalɛ ji akɛ , mɛi ni tsaa shi kɛtaoɔ blema nibii lɛ miitsa shi yɛ he ko kɛ hiɛnɔkamɔ akɛ amɛbaana Maŋtsɛ David maŋtsɛwe lɛ .",Archaeologists were digging at a site where they hoped to find King David 's palace .,,"This is the reason why, when the time came for him to die, he instructed his sons regarding his burial, saying that they should bury him in the city of David, his father."
Bɔ ni ebalɛ nɛ :,It happened this way :,,What is your name?
"Bɔ ni eyɔɔ ŋshɔnaa gbɛ hewɔ lɛ , efeɔ he ko ni hi jogbaŋŋ kɛha shwɛmɔi akwɛmɔ .","Facing the sea , it offered a spectacular setting for the performances .",,"When the sun sets in the evening, it is time for the birds to return to their nests."
"Bɔ ni gbɛjianɔtoo nɛɛ yɔɔ hewɔ lɛ , kɛ ́ amralofoi lɛ ná le ehe nɔ ko fioo po lɛ , ebaanyɛ ekɛ naagba wulu aba .",So interwoven was this underground distribution network that any disclosure could have far - reaching effects .,,"Because of the wickedness of the world, and the disobedience of the people who did not listen to his word, he decided to destroy it with a great flood."
"Bɔfo Paulo gba efɔ ̃ shi akɛ , yɛ "" naagbee gbii lɛ anɔ lɛ , "" gbɔmɛi babaoo naŋ ' hedɔɔ amɛhaŋ mɛi . '","The apostle Paul foretold that in "" the last days "" many people would lack "" natural affection . """,,"The Apostle Paul received a revelation that says, ""The whole world is under the control,"" of a wicked one who is coming."
Bɔfo Paulo hu tsɔ ̃ kaai ni mli wa waa bei amli .,The apostle Paul too went through periods of severe trial .,,The pastor Paul took his gun and went to the farm.
"Bɔfo Paulo kɛ Petro fɛɛ tsɛ ́ Hoshea 2 : 23 lɛ yisɛɛ kɛkɔ mumɔŋ Israel shwɛɛnii lɛ anaabuamɔ he . - Romabii 9 : 25 , 26 ; 1 Petro 2 : 10 .","The apostles Paul and Peter apply Hosea 2 : 23 to the gathering of a remnant of spiritual Israel . - Romans 9 : 25 , 26 ; 1 Peter 2 : 10 .",,"The apostles Paul and Peter quoted Hosea 2:23 to show that God would also accept people of the nations. - Romans 9:25, 26; 1 Peter 2:10."
"Bɔfo Paulo kɛɛ akɛ : "" Be lɛ faaa dɔŋŋ ; nɔ ni eshwɛ ji akɛ , mɛi ni yɔɔ ŋamɛi tete afee tamɔ mɛi ni bɛ eko . """,""" The time left is reduced , "" said the apostle Paul . "" Henceforth let those who have wives be as though they had none . """,,"The Apostle Paul said: ""Do not be deceived; evil companionships corrupt good morals."""
"Bɔfo Paulo tsɛ nɛkɛ Kristofoi amaŋ hee nɛɛ akɛ "" Nyɔŋmɔ Israel . ""","The apostle Paul called this new Christian nation "" the Israel of God . """,,"""The Apostle Paul called the Christians the true Israel."""
"Bɔfo Petro kɛɛ akɛ : "" Nakai nɔŋŋ nyɛ yeigbayei lɛ hu , nyɛbaa nyɛhe shi nyɛhaa nyɛ diɛŋtsɛ nyɛwumɛi lɛ , koni , kɛ ́ mɛi komɛi booo wiemɔ lɛ toi tete lɛ , ashi wiemɔ lɛ sɛɛ ni atsɔ yei lɛ ajeŋba nɔ ni nine ashɛ amɛnɔ , ejaakɛ amɛnaa nyɛjeŋba ni hetsemɔ kɛ gbeyeishemɔ yɔɔ mli lɛ . ""","The apostle Peter says : "" You wives , be in subjection to your own husbands , in order that , if any are not obedient to the word , they may be won without a word through the conduct of their wives , because of having been eyewitnesses of your chaste conduct together with deep respect . """,,"And Peter said to them: ""Repent and be baptized every one of you in the name of Jesus Christ for the forgiveness of your sins, and you will receive the gift of the Holy Spirit. For the promise is for you and for your children and for all who are far off, everyone whom the Lord our God calls to himself."""
"Bɔfo Petro ŋma wumɛi akɛ : "" Nyɛkɛ [ nyɛ ŋamɛi lɛ ] ahia shi yɛ nilee naa , ni nyɛkɛ woo awoa yoo akɛ nɔ ni he waaa tuutu ko , akɛni amɛkɛ nyɛ fɛɛ ji wala duromɔ lɛ wɔfasei lɛ , koni akatsimɔ nyɛsɔlemɔi lɛ agbɛ . ""","The apostle Peter wrote to husbands : "" Continue dwelling in like manner with [ your wives ] according to knowledge , assigning them honor as to a weaker vessel , the feminine one , since you are also heirs with them of the undeserved favor of life , in order for your prayers not to be hindered . """,,"The Apostle Peter wrote and said: ""You [are the stones"
"Bɔfo Yakobo bɔ kɔkɔ akɛ : "" Lilɛi lɛ , gbɔmɔ ko gbɔmɔ ko nyɛɛɛ ehe ajɔɔ . """,""" The tongue , "" warns the disciple James , "" not one of mankind can get it tamed . """,,"The priest Yakobo said: ""People, each and every one of you should come here."""
Bɔfoi lɛ ateŋ mɛi ni ji wuoyalɔi lɛ atsui nyɔ amɛmli yɛ looi babaoo ni amɛgbe lɛ hewɔ .,The apostles who were fishermen were likely gratified by a good catch .,,The hunters killed an animal and gave the meat to the elders so they could share it among themselves and their families.
Bɔni Fee ni B.C . - A.D .,How the B.C . - A.D .,,Born Free in B.C. - A.D.
"Bɔni afee ni Israel maŋtsɛ lɛ atsɔɔ bɔ ni Nyɔŋmɔ Wiemɔ lɛ ni ahaa ekudɔɔ mɔ lɛ he hiaa ha lɛ mli lɛ , ekɛ naabu lɛ to tso ni woɔ yibii he .","To show the importance of being guided by God 's Word in our speech , the king of Israel likens the mouth to a fruit - bearing tree .",,"The Israelites were told by the Lord to go and take the land that belonged to others, which he had promised to give to their ancestors."
"Bɔni afee ni Yesu ato enaagbee Hehoo lɛ he gbɛjianɔ lɛ , ekɛɛ ekaselɔi lɛ akɛ , "" nyɛyaa maŋ lɛŋ ni nyɛyakɛa ashimashi [ "" nuu ko , "" The New English Bible ] "" koni efee nibii klalo yɛ eshĩa .","To prepare for his final Passover meal , Jesus told his disciples to "" go into the city to So - and - so [ "" a certain man , "" The New English Bible ] "" and get things ready at his home .",,"When Jesus had finished this discourse he left Galilee and came to the region of Judaea across the Jordan. Great crowds followed him, and he healed them there. Some Pharisees came and tested him by asking, ‘Is it lawful for a man to divorce his wife on any and every ground?’ He replied, ‘Have you never read that the Creator made them from the beginning male and female?’; and he added, ‘For this reason a man shall leave his father and mother, and be made one with his wife; and the two shall become one flesh. It follows that they are no longer two individuals: they are one flesh. What God has joined together, man must not separate.’"
"Bɔni afee ni anyɛ atsu enɛ he nii lɛ , atsɔɔ Biblia lɛ shishi kɛtee wiemɔi babaoo amli fe woji krokomɛi fɛɛ ni yɔɔ je lɛ mli .","To that end , the Bible has been translated into more languages than any other book in the world .",,"Because of this, they began to use the Bible to expose the false teachings of the religious leaders of that time."
"Bɔni afee ni madamɔ naa lɛ , miyaa Maŋtsɛyeli Asa lɛ nɔ beni mɛi lɛ etara shi , ni mishiɔ amrɔ nɔŋŋ dani jɛmɛ feɔ hoo beni akpa kpee lɛ .","To cope , I usually entered the Kingdom Hall after the crowd settled down and left just before it began to stir at the end of the program .",,"Good evening, madam, I am Maŋtsɛyeli Asa, the one who came to your house yesterday to ask for your daughter's hand in marriage."
"Bɔni afee ni okwaafonyo akpa yibii kpakpai babaoo lɛ , sũ loo shikpɔŋ ni baa nii , hulu , kɛ nu he miihia .","To reap a good crop , a farmer needs fertile soil , warm sunshine , and water .",,"It is not good for a child to break all the eggs because of one bad one, the same way it is not right to reject an entire town because of one bad person, so consider this."
"Bɔni afee ni ona bɔ ni ehe hiaa ni okɛ hiɛdɔɔ atsu Nyɔŋmɔ sɔɔmɔ nitsumɔ lɛ , kadimɔ nɔ ko ni ba yɛ Israel maŋtsɛ Yoash shihilɛ mli .","To illustrate the importance of being zealous in God 's service , note an event that took place in the life of King Jehoash of Israel .",,"In the thirty-seventh year of Joash king of Judah, Jehoash the son of Jehoahaz became king over Israel in Samaria, and reigned sixteen years."
"Bɔni afee ni wɔna akɛ Yehowa yeɔ eshiwoo nɛɛ nɔ lɛ , nyɛhaa wɔkɛ mɔ nitsumɔ ní jeɔ edɛŋ trukaa lɛ afea he nɔkwɛmɔnɔ wɔkwɛa .","To see how Jehovah can act on this promise , let us consider the example of a sudden loss of one 's livelihood .",,"Because of this, we know that Jehovah is kind; everyone who calls on him in a time of true need will be answered."
Bɔɔ mɔdɛŋ ni ofee enɛ amrɔ nɔŋŋ .,Try to do it very soon .,,The man who is tall is the one who killed the snake.
"Bɔɔ mɔdɛŋ ni okɛ ohe awo eshihilɛ lɛ mli , ni onu lɛ shishi .",Try to relate to her and understand her reactions .,,"When the monkey saw the dog coming, he ran and hid in a hole, and the dog waited for him."
Caucasus Gɔji,Caucasus Mountains,,Caucasus Mountains
"Cristina ni eji daa gbɛgbalɔ lɛ kɛɛ akɛ : "" Bei pii lɛ , minaa akɛ mihiɛ kɔ ̃ ɔ mɛi krokomɛi anɔ .","Cristina , a regular pioneer , says : "" I often find myself looking enviously at others .",,"Christina told her children that: ""Most of the time, it's the little things that make me happy."""
Côte d 'Ivoire ( ni tsutsu ko lɛ atsɛɔ lɛ Ivory Coast lɛ ) fata maji ni aduɔ kookoo yɛ nɔ waa lɛ ahe .,"Côte d 'Ivoire ( formerly Ivory Coast ) is a major producer of cocoa beans , which are used to make chocolate .",,Côte d'Ivoire (which in the local language is called Ivory Coast) is a country located in West Africa.
"Daa afi lɛ , akalaa woji srɔtoi aaashɛ 2,000 ni kɛ ŋaawoo haa yɛ saji nɛɛ kɛ ekrokomɛi ni he hiaa lɛ ahe .","Each year , some 2,000 different books are published that offer advice on these and other important subjects .",,"In that year, the government spent over 2,000 cedis to provide food and clothing for the elderly and the needy."
"Daa gbi lɛ , adebɔɔ he wolo lɛ baafãi lɛ kɛ mi wieɔ .",Day after day the book of creation spoke to me page by page .,,"When the sheep died, its owner buried its head and tail."
Dabi kwraa !,On the contrary !,,"""Good morning!"""
"Dani David aaaye Israel nɔ maŋtsɛ po lɛ , no mli lɛ ewala yaje oshara mli .","Even before becoming a king over Israel , David found himself in the jaws of death .",,"Daniel David came from Israel and settled here, and he is now living in our town."
"Dani tsakemɔ lɛ aaaba , kɛ etsakemɔ lɛ sɛɛ nɔŋŋ hu lɛ , mɛni tee nɔ yɛ Yesu kɛ ekaselɔi lɛ kɛ ' yinɔ nɛɛ ' teŋ ?","Just before and again right after the transfiguration , Jesus and his disciples had what encounter with ' this generation ' ?",,"Since the disciples were there, and his disciples were also with him, what does it mean when Jesus said to them, 'you are the light'?"
